name_author,id_author,date_publication,id_comment,text_comment,answer_to,likes,vote,id_article
arqa,166541,2020-07-31 08:06:20,11149783,"Не, совсем не так. Мы им ресурсы, они нам деньги. Потом уже мы на эти деньги покупаем в мире то, что хочет наш народ. Просто так вышло, что почти все изготавливает Китай. Даже большинство российского, кыргызского товара промышленногоделается в Китае и уже по месту этикетки и маркировка клеится.<br>Так что бусы хочет наш народ, китайцы лишь удовлетворяют наши хотелки. А вот хотелки наши - в наших руках. Откажись от барахла и поможешь государству сохранить валюту.",11149727,0,2,5034313
Луций Сенека,131979,2020-07-31 09:24:53,11149828,"Можно поинтересоваться КТО вы такие, что покупаете народу то, что он хочет? И еще вопрос: если я задушу в себе мещанство и прекращу покупать барахло, сохранив этим валюту для государства, что потом государство купит на эту валюту?",11149783,1,1,5034313
arqa,166541,2020-07-31 09:53:30,11149839,"Народ сам изьявляет спрос, а бизнес удовлетворяет его. Но ключевой момент это покупка валюты на оплату контракта. Так вот чем меньше барахла мы приобретаем, тем меньше валюты нужно, тем спрос на нее ниже, тем ниже курс, тем ниже  инфляция...",11149828,0,0,5034313
Айдарбек,140778,2020-07-31 09:54:57,11149840,Тут что одни таргаши собрались статья вообще не о том господа,11149839,0,0,5034313
Куерти Клавиатуров,101548,2020-07-31 07:53:05,11149775,"О каких ключевых интересах он говорит, интересы это у США, Китай, России!",,0,0,5034313
arqa,166541,2020-07-31 08:07:06,11149785,Даже у комара есть интерес ....,11149775,0,0,5034313
Serik  Amangaliev,100521,2020-07-31 08:23:39,11149788,Как бы из пояса не сделали петлю),,0,0,5034313
Mike Mike,114314,2020-07-31 05:06:14,11149644,Аптека из акимата?Получили добро?,,2,2,5034312
Serik Darkulov,117451,2020-07-31 04:03:09,11149560,Глупость любителей халявы поистине безгранична.,,19,21,5034311
Евгений Моргунов,101739,2020-07-31 10:28:33,11149847,"Классика жанра: <br><br><br>""Покуда живы жадины вокруг, <br>Удачи мы не выпустим из рук. <br>Пока живут на свете дураки, <br>Обманом жить нам, стало быть, с руки""...<br><br>(С)",11149560,0,0,5034311
Конструктивизатор,157982,2020-07-31 04:04:08,11149562,"Думаю, что пора декриминализировать статью ""финансовые пирамиды"". Не нужно грузить органы уголовного преследования такими делами. Из за этого остаются нераскрытыми более серьезные дела. Все люди, вкладывающие деньги в такие прожекты, должны понимать, что их никто не защитит и заявление их не примет.",,13,17,5034311
Fack,140389,2020-07-31 04:44:19,11149612,"Всё верное, а то наши органы только тем и занимаются, что ищут владельцев финансовых пирамид. Если вложил деньги в финансовую пирамиду и хотел быстро разбогатеть, то это лох по жизни и не надо их защищать. Для этого есть банки и другие финансовые инструменты, а так называемые ""лохи"" пусть и дальше кормят мошенников.",11149562,10,10,5034311
Виктор Ефимович ________________________________,142821,2020-07-31 05:42:31,11149691,"Их что, силой заставляли нести туда деньги? Скорее всего, дома был совет, сколько вложить. Это самостоятельное решение, и кто тут виноват? Изначально, пирамида обман. Желание разбогатеть за счёт кого-то приводит в плачевным результатам",11149612,1,3,5034311
Fack,140389,2020-07-31 04:46:10,11149621,"И суды не должны тоже этим заниматься, пусть сами выбивают свои легкие деньги, а то полиция и суды содержатся на наши деньги и работают как бы для этих ""лохов"".",11149562,6,6,5034311
Vitaliy Blogoved,152374,2020-07-31 05:35:47,11149686,Тогда вообще хаос будет. Такое можно сделать при 100% финансовой грамотности населения. Но такого у нас и близко нет. Многие несут туда деньги просто по незнанию.,11149562,-2,4,5034311
Doni0101,147625,2020-07-31 04:06:01,11149564,Жизнь плоха без лоха,,8,10,5034311
Макс Иванов,101412,2020-07-31 04:06:34,11149566,Хотели халявы и попали. Нечего жаловаться теперь.,,9,13,5034311
aziydoma,125561,2020-07-31 04:25:48,11149584,"тут как говорится есть у медали две стороны темная и светлая, оди хотели холявы а другие получили холяву,все справедлива",,6,8,5034311
Tiger15,153525,2020-07-31 04:50:12,11149629,Любители халявы это те кто знал что это пирамида и специально положил деньги чтобы получить прибыль за счет других и спрыгнуть вовремя пока пирамида не рухнула.<br> А есть люди не слышавшие про пирамиды.Которые вложились не зная что пирамиды это обман.Называть этих людей лохами неправильно.Нужно повышать финансовую грамотность .,,-3,9,5034311
Власть бедным!,170075,2020-07-31 05:02:33,11149642,"Не, это и есть самвн настоящие лохи. Как можно было не слышать о финансовых пирамидах если скандалы с их развалом бушевали на всю страну десятки раз начиная с 90х",11149629,4,8,5034311
Ирина Кузнецова,106802,2020-07-31 05:11:47,11149652,Да сколько можно не знать? со времен мавроди уже это все идет... Сомневаюсь что кто то об этом еще не знает... Люди хотят по быстрому заработать ничего не делая....,11149629,4,6,5034311
Виктор Ефимович ________________________________,142821,2020-07-31 05:39:23,11149689,"НУЖНО называть лохами. В современном компьютеризированном мире, когда у каждого телефон, не знать о фин. пирамидах?",11149629,3,5,5034311
Власть бедным!,170075,2020-07-31 04:59:15,11149639,"Самый жадный народ мира конечно же не мог остаться в стороне, нужно найти и поймать всех кто успели обогатиться на этой преступной схеме до того как она лопнула и конфисковать у них все полученные суммы",,-2,4,5034311
Doni0101,147625,2020-07-31 05:20:30,11149663,Бесплатно ничего не бывает,,3,5,5034311
USSR,165401,2020-07-31 05:29:16,11149678,Л О Х И ) ) ),,3,5,5034311
Луций Сенека,131979,2020-07-31 05:30:04,11149682,Алчность - тяжкий грех перед Богом и это соответствующее наказание за нее,,-2,6,5034311
Dikii Zapad,100747,2020-07-31 03:34:39,11149546,"Ну то как можно получить разрешение в Казахстане давно не секрет Полишинеля.<br>Почему не показали опасные игрушки а сделали просто обзор витрины? Надо же сообщать народу или не стали рисковать и вдруг у кого то окажется более ""правильный"" сертификат?",,5,7,5034310
Сакен Дулабаев,144412,2020-07-31 04:09:45,11149568,Маде ин китай.  Будто не знали,,2,2,5034310
Власть бедным!,170075,2020-07-31 05:07:01,11149645,"Не факт, вполне могли и в других местах изготовить",11149568,-1,1,5034310
